[W1S1] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 09:00–09:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S30] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 23:30–23:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S31] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 24:00–24:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S32] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 24:30–24:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S33] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 25:00–25:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S34] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 25:30–25:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S35] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 26:00–26:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S36] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 26:30–26:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S37] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 27:00–27:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S38] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 27:30–27:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S39] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 28:00–28:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S40] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 28:30–28:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S41] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 29:00–29:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S42] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 29:30–29:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S43] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 30:00–30:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S44] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 30:30–30:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S45] 📅 Thursday | 🗓️ May 01, 2025 | 🕒 31:00–31:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S46] 📅 Friday | 🗓️ May 02, 2025 | 🕒 31:30–31:60 | 🧴 Pool rehabilitation | 🧠 Rehabilitation | 👨‍⚕️ None | 👤 None | Available
[W1S47] 📅 Friday | 🗓️ May 02, 2025 | 🕒 32:00–32:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S48] 📅 Friday | 🗓️ May 02, 2025 | 🕒 32:30–32:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S49] 📅 Friday | 🗓️ May 02, 2025 | 🕒 33:00–33:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S50] 📅 Friday | 🗓️ May 02, 2025 | 🕒 33:30–33:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S51] 📅 Friday | 🗓️ May 02, 2025 | 🕒 34:00–34:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S52] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 34:30–34:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S53] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 35:00–35:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S54] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 35:30–35:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S55] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 36:00–36:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S56] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 36:30–36:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S57] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 37:00–37:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S58] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 37:30–37:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S59] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 38:00–38:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S60] 📅 Saturday | 🗓️ May 03, 2025 | 🕒 38:30–38:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S61] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 39:00–39:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S62] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 39:30–39:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S63] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 40:00–40:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S64] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 40:30–40:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S65] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 41:00–41:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S66] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 41:30–41:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S67] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 42:00–42:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S68] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 42:30–42:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S69] 📅 Sunday | 🗓️ May 04, 2025 | 🕒 43:00–43:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S70] 📅 Monday | 🗓️ May 05, 2025 | 🕒 43:30–43:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S71] 📅 Monday | 🗓️ May 05, 2025 | 🕒 44:00–44:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S72] 📅 Monday | 🗓️ May 05, 2025 | 🕒 44:30–44:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S73] 📅 Monday | 🗓️ May 05, 2025 | 🕒 45:00–45:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S74] 📅 Monday | 🗓️ May 05, 2025 | 🕒 45:30–45:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S75] 📅 Monday | 🗓️ May 05, 2025 | 🕒 46:00–46:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S76] 📅 Monday | 🗓️ May 05, 2025 | 🕒 46:30–46:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S77] 📅 Monday | 🗓️ May 05, 2025 | 🕒 47:00–47:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S78] 📅 Monday | 🗓️ May 05, 2025 | 🕒 47:30–47:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S79] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 48:00–48:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S80] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 48:30–48:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S81] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 49:00–49:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S82] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 49:30–49:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S83] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 50:00–50:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S84] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 50:30–50:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S85] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 51:00–51:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S86] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 51:30–51:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S87] 📅 Tuesday | 🗓️ May 06, 2025 | 🕒 52:00–52:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S88] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 52:30–52:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S89] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 53:00–53:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S90] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 53:30–53:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S91] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 54:00–54:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S92] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 54:30–54:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S93] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 55:00–55:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S94] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 55:30–55:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S95] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 56:00–56:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S96] 📅 Wednesday | 🗓️ May 07, 2025 | 🕒 56:30–56:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S97] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 57:00–57:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S98] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 57:30–57:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S99] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 58:00–58:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S100] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 58:30–58:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S101] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 59:00–59:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S102] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 59:30–59:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S103] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 60:00–60:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S104] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 60:30–60:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S105] 📅 Thursday | 🗓️ May 08, 2025 | 🕒 61:00–61:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S106] 📅 Friday | 🗓️ May 09, 2025 | 🕒 61:30–61:60 | 🧴 Pool rehabilitation | 🧠 Rehabilitation | 👨‍⚕️ None | 👤 None | Available
[W2S107] 📅 Friday | 🗓️ May 09, 2025 | 🕒 62:00–62:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S108] 📅 Friday | 🗓️ May 09, 2025 | 🕒 62:30–62:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S109] 📅 Friday | 🗓️ May 09, 2025 | 🕒 63:00–63:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S110] 📅 Friday | 🗓️ May 09, 2025 | 🕒 63:30–63:60 | 🧴 Neural mobilisation | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S111] 📅 Friday | 🗓️ May 09, 2025 | 🕒 64:00–64:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W2S112] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 64:30–64:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S113] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 65:00–65:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S114] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 65:30–65:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S115] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 66:00–66:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S116] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 66:30–66:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S117] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 67:00–67:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S118] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 67:30–67:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S119] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 68:00–68:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W2S120] 📅 Saturday | 🗓️ May 10, 2025 | 🕒 68:30–68:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S121] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 69:00–69:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S122] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 69:30–69:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S123] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 70:00–70:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S124] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 70:30–70:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S125] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 71:00–71:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S126] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 71:30–71:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S127] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 72:00–72:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S128] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 72:30–72:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S129] 📅 Sunday | 🗓️ May 11, 2025 | 🕒 73:00–73:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S130] 📅 Monday | 🗓️ May 12, 2025 | 🕒 73:30–73:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S131] 📅 Monday | 🗓️ May 12, 2025 | 🕒 74:00–74:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S132] 📅 Monday | 🗓️ May 12, 2025 | 🕒 74:30–74:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S133] 📅 Monday | 🗓️ May 12, 2025 | 🕒 75:00–75:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S134] 📅 Monday | 🗓️ May 12, 2025 | 🕒 75:30–75:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S135] 📅 Monday | 🗓️ May 12, 2025 | 🕒 76:00–76:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S136] 📅 Monday | 🗓️ May 12, 2025 | 🕒 76:30–76:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S137] 📅 Monday | 🗓️ May 12, 2025 | 🕒 77:00–77:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S138] 📅 Monday | 🗓️ May 12, 2025 | 🕒 77:30–77:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S139] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 78:00–78:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S140] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 78:30–78:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S141] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 79:00–79:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S142] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 79:30–79:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S143] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 80:00–80:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S144] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 80:30–80:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S145] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 81:00–81:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S146] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 81:30–81:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S147] 📅 Tuesday | 🗓️ May 13, 2025 | 🕒 82:00–82:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W3S148] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 82:30–82:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S149] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 83:00–83:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S150] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 83:30–83:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S151] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 84:00–84:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S152] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 84:30–84:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W3S153] 📅 Wednesday | 🗓️ May 14, 2025 | 🕒 85:00–85:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
